INDUSTRYKEY,YEAR,DIR EMP(M),DIR EMP(F),IND EMP(M),IND EMP(F),DIR HOURS ,IND HOURS ,TCOMP DIR(USD),TWPRODUCTS(USD) ,TSALES NATIONAL(USD),TSALES EXPORT(USD),TCELECT ENERGY(USD),TCOMP IND(USD),TWMACHINERY(USD),NUMBER TECH DEVICES
311,2013,318058.0,169923.0,73524.0,34315.0,1279049.0,270150.0,48965547.0,849314272.0,787170081.0,59861307.0,9767440.0,20165085.0,163112272.0,3952864.0
312,2013,79260.0,10472.0,19283.0,3152.0,229614.0,55566.0,12173710.0,293331525.0,256419982.0,37549613.0,2634056.0,6186612.0,80379642.0,1732683.0
313,2013,33035.0,12001.0,9249.0,4182.0,106785.0,32413.0,5270502.0,45451585.0,31373486.0,14281565.0,2575858.0,1793702.0,25800194.0,353146.0
314,2013,7271.0,5117.0,3933.0,2031.0,28649.0,14100.0,1362344.0,10090589.0,8630894.0,1561557.0,321614.0,841827.0,4452684.0,145093.0
315,2013,51160.0,71692.0,13692.0,14175.0,279869.0,63486.0,10009839.0,38721960.0,30225168.0,8454860.0,912837.0,2729722.0,7844853.0,600808.0
316,2013,35908.0,21077.0,5586.0,3593.0,130687.0,20940.0,5469959.0,32360809.0,23936522.0,8606445.0,441608.0,1057816.0,4562766.0,362039.0
321,2013,10637.0,1862.0,1996.0,565.0,29167.0,6124.0,1184293.0,10589743.0,8767300.0,1782417.0,260922.0,418100.0,2710852.0,60141.0
322,2013,43336.0,13263.0,10487.0,3077.0,143726.0,35577.0,10508779.0,146029104.0,132323339.0,13395246.0,5603875.0,2793862.0,74113122.0,851389.0
323,2013,14104.0,8552.0,4522.0,3015.0,53207.0,17790.0,3156016.0,21268756.0,19833937.0,1427604.0,494622.0,1407089.0,9450409.0,500655.0
324,2013,22745.0,5356.0,1203.0,377.0,63952.0,3553.0,13243891.0,849995180.0,847745030.0,2083310.0,1432038.0,626221.0,225157698.0,282957.0
325,2013,75366.0,35590.0,31059.0,14331.0,263387.0,106732.0,35560190.0,710976087.0,546761573.0,158025359.0,9454573.0,17134523.0,165999738.0,4763173.0
326,2013,73124.0,47599.0,40618.0,25133.0,283537.0,160425.0,18781346.0,179323352.0,128516015.0,50897788.0,7255935.0,12170851.0,66764866.0,1830507.0
327,2013,48207.0,7338.0,32819.0,6973.0,142054.0,106456.0,10848627.0,159093094.0,136228096.0,23150794.0,8935826.0,9270882.0,111740858.0,1173467.0
331,2013,50553.0,5255.0,22944.0,2997.0,135040.0,65021.0,15103614.0,399698370.0,262288806.0,132384544.0,14998010.0,7366304.0,197425481.0,2243703.0
332,2013,141194.0,26024.0,29411.0,9963.0,388597.0,90670.0,21078735.0,168462286.0,120270143.0,48446482.0,4293763.0,7237565.0,51627141.0,1385219.0
333,2013,59394.0,17420.0,16614.0,3727.0,179648.0,47490.0,14656548.0,108497077.0,35312003.0,73385165.0,1707287.0,4107779.0,23007229.0,1092485.0
334,2013,93475.0,108678.0,25422.0,22371.0,482490.0,112039.0,30831318.0,44045828.0,10251910.0,33942308.0,3099060.0,6974968.0,14408019.0,1494024.0
335,2013,74567.0,45994.0,24558.0,10484.0,275969.0,79313.0,18568672.0,126512234.0,74659416.0,51882354.0,3113496.0,6718595.0,33286992.0,1022327.0
336,2013,313363.0,177808.0,112693.0,56196.0,1094155.0,391258.0,81633445.0,1307037021.0,347065272.0,956270473.0,12933101.0,36008984.0,265376399.0,6074642.0
337,2013,30985.0,10735.0,3871.0,1342.0,96289.0,11914.0,4785406.0,19635848.0,15440865.0,4163468.0,379864.0,712680.0,3517559.0,269701.0
