CODIGO_SCIAN,DESCRIPCION
31-33,Industrias manufactureras
311,Industria alimentaria
3111,Elaboración de alimentos para animales
311110,Elaboración de alimentos para animales
3112,Molienda de granos y de semillas y obtención de aceites y grasas
311211,Beneficio del arroz
311212,Elaboración de harina de trigo
311213,Elaboración de harina de maíz
311215,Elaboración de malta
311221,Elaboración de féculas y otros almidones y sus derivados
311222,Elaboración de aceites y grasas vegetales comestibles
311230,Elaboración de cereales para el desayuno
3113,"Elaboración de azúcares, chocolates, dulces y similares"
311311,Elaboración de azúcar de caña
311320,Elaboración de chocolate y productos de chocolate a partir de cacao
311330,Elaboración de productos de chocolate a partir de chocolate
311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate"
3114,"Conservación de frutas, verduras y alimentos preparados"
311411,Congelación de frutas y verduras
311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación
311423,Conservación de alimentos preparados por procesos distintos a la congelación
3115,Elaboración de productos lácteos
311511,Elaboración de leche líquida
311512,"Elaboración de leche en polvo, condensada y evaporada"
311513,Elaboración de derivados y fermentos lácteos
3116,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles"
311611,"Matanza de ganado, aves y otros animales comestibles"
311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles"
311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles"
3117,Preparación y envasado de pescados y mariscos
311710,Preparación y envasado de pescados y mariscos
3118,Elaboración de productos de panadería y tortillas
311811,Panificación industrial
311812,Panificación tradicional
311820,Elaboración de galletas y pastas para sopa
311830,Elaboración de tortillas de maíz y molienda de nixtamal
3119,Otras industrias alimentarias
311910,Elaboración de botanas
311921,Beneficio del café
311922,Elaboración de café tostado y molido
311923,Elaboración de café instantáneo
311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas"
311940,Elaboración de condimentos y aderezos
311991,Elaboración de gelatinas y otros postres en polvo
311992,Elaboración de levadura
311999,Elaboración de otros alimentos
312,Industria de las bebidas y del tabaco
3121,Industria de las bebidas
312111,Elaboración de refrescos y otras bebidas no alcohólicas
312112,Purificación y embotellado de agua
312120,Elaboración de cerveza
312131,Elaboración de bebidas alcohólicas a base de uva
312141,Elaboración de ron y otras bebidas destiladas de caña
312142,Elaboración de bebidas destiladas de agave
312149,Elaboración de otras bebidas destiladas
3122,Industria del tabaco
312210,Beneficio del tabaco
312221,Elaboración de cigarros
313,Fabricación de insumos textiles y acabado de textiles
